"ap_code","latitude","longitude","fishing_method","average_catch","sd_catch","perc_trips_over_mean"
"AHH",54.376513,12.406816,"Land",2.35294117647059,2.7143409989947,0.352941176470588
"AHH",54.376513,12.406816,"Boot",11.5,16.9784931831194,0.285714285714286
"BAH",54.43392,13.030595,"Boot",3.82,3.70708092433816,0.48
"BAH",54.43392,13.030595,"Kutter",9.91666666666667,6.05530070819498,0.458333333333333
"BEH",54.148725,11.876173,"Land",1,1.92353840616713,0.333333333333333
"BEH",54.148725,11.876173,"Boot",3.75,3.54058106611249,0.472222222222222
"BLE",54.353807,10.865622,"Boot",2.28260869565217,3.48114312947955,0.326086956521739
"BOH",53.991005,11.201948,"Land",1.47058823529412,1.58578241961277,0.470588235294118
"BOH",53.991005,11.201948,"Boot",4.25,3.81000381000571,0.4375
"BPH",54.117463,10.924308,"Land",1.77777777777778,2.22361067735439,0.444444444444444
"BST",54.418963,11.20086,"Boot",5.26618705035971,5.95827951478888,0.366906474820144
"BST",54.418963,11.20086,"Kutter",5.07708553326294,5.07818082200347,0.35480464625132
"BUS",54.153702,11.707745,"Land",1.35294117647059,2.47338776960337,0.294117647058824
"DAD",54.370897,10.913501,"Land",2.33333333333333,4.76095228569523,0.166666666666667
"DAH",54.218648,11.090205,"Land",1.125,1.36134524260572,0.375
"DRK",54.634071,13.242212,"Land",1.6,0.894427190999916,0.8
"DRK",54.634071,13.242212,"Boot",5.25925925925926,3.04571063568969,0.333333333333333
"DRW",54.633453,13.376499,"Land",2.5,2.64575131106459,0.5
"ECF",54.468211,9.840409,"Land",2,3.19482339914496,0.433333333333333
"ECF",54.468211,9.840409,"Boot",6.36,7.6205861541835,0.28
"ECF",54.468211,9.840409,"Kutter",4.79510703363914,6.83353158327022,0.330275229357798
"ELH",54.174872,11.99851,"Land",1.36,1.9122412679018,0.4
"FAH",54.730332,9.9822,"Boot",0,0,1
"FAH",54.730332,9.9822,"Land",0.82051282051282,1.48451294284115,0.333333333333333
"FLB",54.80111,9.438196,"Land",1.6,1.89736659610103,0.4
"FMS",54.402191,11.121404,"Land",0.516129032258065,1.12163475165895,0.354838709677419
"GEM",54.755167,9.848759,"Boot",3,0,1
"GLW",54.573613,13.469476,"Land",1.22222222222222,1.98606254796883,0.333333333333333
"GLW",54.573613,13.469476,"Boot",4.8125,8.76911748836014,0.263392857142857
"GRB",54.369179,11.083911,"Land",0.5,0.674199862463242,0.416666666666667
"GRB",54.369179,11.083911,"Boot",3.87349397590361,5.40389498893887,0.36144578313253
"GRM",54.257027,12.233995,"Land",0.705882352941177,1.40377641926844,0.235294117647059
"GRM",54.257027,12.233995,"Boot",1.55555555555556,1.75640750404382,0.388888888888889
"HAB",54.79587,9.771513,"Land",0.592592592592593,1.30852998141071,0.222222222222222
"HED",54.374535,10.197028,"Boot",3,3.43187671366233,0.368421052631579
"HED",54.374535,10.197028,"Kutter",5.09401709401709,7.74963546348148,0.301994301994302
"HEH",54.374011,10.98254,"Land",0.166666666666667,0.408248290463863,0.166666666666667
"HEH",54.374011,10.98254,"Kutter",4.81585677749361,4.67367044698774,0.40920716112532
"HEK",54.435288,10.326324,"Land",0.212121212121212,1.05349346692255,0.0606060606060606
"HOF",54.384204,10.514347,"Land",0.613636363636364,1.0165127137678,0.340909090909091
"HUB",54.367653,10.581458,"Land",1.04761904761905,1.16086995293144,0.380952380952381
"KAD",54.143307,11.665158,"Land",2.15384615384615,3.41189472888975,0.230769230769231
"KAD",54.143307,11.665158,"Boot",8.70149253731343,5.96203881482576,0.432835820895522
"KAH",54.439118,11.285992,"Land",3.875,3.75832409459323,0.5
"KAP",54.65967,9.934183,"Boot",0,0,1
"KDG",54.457672,11.273832,"Land",2,1.82574185835055,0.5
"KFS",54.423105,10.396536,"Land",0.439393939393939,0.89663967342668,0.242424242424242
"KIB",54.359022,10.179748,"Land",1.16,1.62480768092719,0.36
"KIB",54.359022,10.179748,"Boot",2.11764705882353,3.06262618423879,0.294117647058824
"KIU",54.46279,9.939431,"Land",1.66666666666667,2.3094010767585,0.416666666666667
"KTB",54.670029,13.278712,"Land",1.66666666666667,3.05505046330389,0.307692307692308
"KUB",54.15327,11.765435,"Land",1.11764705882353,2.1286602114711,0.235294117647059
"KUB",54.15327,11.765435,"Boot",3.48453608247423,4.21829695607386,0.350515463917526
"LAB",54.404177,10.217088,"Boot",2.77777777777778,2.65059258009243,0.555555555555556
"LAB",54.404177,10.217088,"Kutter",3.04602510460251,4.42571754423383,0.288702928870293
"LBG",54.821367,9.654139,"Boot",1.77777777777778,2.16666666666667,0.444444444444444
"LHW",54.328225,10.658001,"Land",0.230769230769231,0.832050294337844,0.0769230769230769
"MAH",54.701596,10.013646,"Boot",4.65116279069767,4.88868334075767,0.465116279069767
"MAH",54.701596,10.013646,"Kutter",7.17619047619048,7.66963480891086,0.347619047619048
"MAL",54.493122,11.242026,"Land",0,0,1
"MGH",54.188556,12.132219,"Land",1.66666666666667,0.577350269189626,0.666666666666667
"MIM",54.402758,11.142289,"Land",0.25,0.5,0.25
"MIM",54.402758,11.142289,"Boot",3.76315789473684,3.53694180412214,0.473684210526316
"MSD",54.412204,11.243207,"Land",1,1,0.666666666666667
"NES",54.096774,10.80999,"Boot",2.42465753424658,3.5541828032826,0.328767123287671
"OLH",54.450095,11.073264,"Boot",9,0,1
"OLH",54.450095,11.073264,"Kutter",4.25,4.94680289638727,0.384146341463415
