"fishing_method","zip_code","max_distance","perc_zipcode"
"Boot",10115,300.6632696,0.00134566862910008
"Boot",10117,222.3646602,0.000168208578637511
"Boot",10119,219.0699734,0.000168208578637511
"Boot",10243,222.1126677,0.000336417157275021
"Boot",10247,217.0719866,0.000841042893187553
"Boot",10249,215.4969452,0.000336417157275021
"Boot",10319,226.800744,0.000168208578637511
"Boot",10369,198.4387863,0.000168208578637511
"Boot",10439,224.7039637,0.000504625735912532
"Boot",10553,208.1106654,0.000168208578637511
"Boot",10555,209.3942898,0.000336417157275021
"Boot",10585,253.6628362,0.000168208578637511
"Boot",10589,227.7135758,0.000168208578637511
"Boot",10625,212.4575675,0.000168208578637511
"Boot",10627,229.8681179,0.000336417157275021
"Boot",10711,224.1848397,0.000336417157275021
"Boot",10715,213.0334864,0.000168208578637511
"Boot",10783,212.7567703,0.000168208578637511
"Boot",10827,226.0494676,0.000336417157275021
"Boot",10997,230.3721996,0.000168208578637511
"Boot",12049,213.0293721,0.000168208578637511
"Boot",12109,263.5584702,0.000336417157275021
"Boot",12165,235.659826,0.000504625735912532
"Boot",12305,241.0542142,0.000168208578637511
"Boot",12557,238.2708808,0.000168208578637511
"Boot",13088,223.8202941,0.000168208578637511
"Boot",13407,222.5319309,0.000168208578637511
"Boot",13593,201.2333097,0.000168208578637511
"Boot",14109,213.6416078,0.000168208578637511
"Boot",14167,217.3974144,0.000168208578637511
"Boot",14169,210.8791183,0.000336417157275021
"Boot",14197,213.4007928,0.000336417157275021
"Boot",14467,200.7837171,0.000336417157275021
"Boot",14469,240.1375112,0.000504625735912532
"Boot",14476,219.2031593,0.000336417157275021
"Boot",14478,238.4044631,0.000504625735912532
"Boot",14480,217.900594,0.00100925147182506
"Boot",14532,222.892365,0.000504625735912532
"Boot",14542,229.9521157,0.000336417157275021
"Boot",14547,254.3524821,0.000168208578637511
"Boot",14548,244.5601117,0.000168208578637511
"Boot",14550,193.7124107,0.000672834314550042
"Boot",14641,202.4555093,0.00134566862910008
"Boot",14727,238.0580941,0.000168208578637511
"Boot",14770,227.9014104,0.000504625735912532
"Boot",14774,251.0555698,0.000841042893187553
"Boot",14797,214.0256974,0.000336417157275021
"Boot",14929,279.7017658,0.000168208578637511
"Boot",15236,257.6204009,0.000168208578637511
"Boot",15299,270.8691344,0.000168208578637511
"Boot",15326,246.4702232,0.000168208578637511
"Boot",15345,224.480367,0.000168208578637511
"Boot",15517,244.9153784,0.000841042893187553
"Boot",15711,262.575078,0.00100925147182506
"Boot",15848,270.6868529,0.000336417157275021
"Boot",15890,284.8253528,0.000841042893187553
"Boot",15936,275.6655841,0.000336417157275021
"Boot",16306,175.3379846,0.000672834314550042
"Boot",16356,216.5633741,0.000168208578637511
"Boot",16515,197.8676755,0.000168208578637511
"Boot",16540,205.4040015,0.000168208578637511
"Boot",16727,202.9043019,0.000168208578637511
"Boot",16798,124.6954943,0.000504625735912532
"Boot",16833,204.6446921,0.000168208578637511
"Boot",16866,192.3988489,0.000168208578637511
"Boot",16928,125.8028247,0.000672834314550042
"Boot",16949,101.2113075,0.000336417157275021
"Boot",17033,118.405915,0.000841042893187553
"Boot",17034,111.7496289,0.000168208578637511
"Boot",17036,114.7578965,0.000504625735912532
"Boot",17087,98.95427009,0.000336417157275021
"Boot",17091,107.6956205,0.000168208578637511
"Boot",17094,121.2452873,0.000168208578637511
"Boot",17109,87.16415937,0.000504625735912532
"Boot",17111,84.69335429,0.000168208578637511
"Boot",17129,77.40855339,0.000168208578637511
"Boot",17139,92.1871104,0.000336417157275021
"Boot",17159,55.39993614,0.000168208578637511
"Boot",17166,51.03078503,0.000336417157275021
"Boot",17179,43.95694912,0.000168208578637511
"Boot",17268,159.1137708,0.000168208578637511
"Boot",17291,143.303905,0.000168208578637511
"Boot",17335,112.2385318,0.000504625735912532
"Boot",17367,113.8088237,0.000168208578637511
"Boot",17390,74.60025145,0.000168208578637511
"Boot",17398,90.49713942,0.000168208578637511
"Boot",17440,66.17289571,0.000168208578637511
"Boot",17489,54.20677782,0.00201850294365013
"Boot",17491,74.56178196,0.000336417157275021
"Boot",17493,50.1430246,0.000168208578637511
"Boot",17498,49.67548683,0.000841042893187553
"Boot",17506,59.74569543,0.000336417157275021
"Boot",18055,100.500023,0.00100925147182506
"Boot",18057,2.830706451,0.000504625735912532
"Boot",18059,108.422607,0.000841042893187553
"Boot",18069,86.08044577,0.000168208578637511
"Boot",18107,6.340350972,0.000504625735912532
"Boot",18109,102.7642759,0.000504625735912532
"Boot",18119,81.32162069,0.00117746005046257
"Boot",18147,33.13399046,0.000841042893187553
"Boot",18181,1.403689163,0.000504625735912532
"Boot",18182,26.46354797,0.000168208578637511
"Boot",18184,92.26970017,0.000336417157275021
"Boot",18196,27.75833398,0.000168208578637511
"Boot",18198,25.92383541,0.000168208578637511
"Boot",18209,115.4520996,0.00353238015138772
"Boot",18211,11.55769891,0.00201850294365013
"Boot",18225,1.868833724,0.000336417157275021
"Boot",18230,5.748416223,0.000336417157275021
"Boot",18233,112.2430927,0.000168208578637511
"Boot",18236,14.53036802,0.000672834314550042
"Boot",18239,99.77408434,0.000504625735912532
"Boot",18246,34.14785071,0.000672834314550042
"Boot",18258,114.8507813,0.000672834314550042
"Boot",18273,119.7650321,0.00470984020185029
"Boot",18276,52.35202133,0.000841042893187553
"Boot",18279,64.59441366,0.000336417157275021
"Boot",18292,68.26268298,0.00100925147182506
"Boot",18299,26.85768813,0.000672834314550042
"Boot",18311,76.67821008,0.000672834314550042
"Boot",18314,59.0553488,0.000672834314550042
"Boot",18320,34.04958301,0.000168208578637511
"Boot",18334,54.40229601,0.000672834314550042
"Boot",18337,78.67025642,0.000504625735912532
"Boot",18347,8.293246295,0.000336417157275021
"Boot",18435,37.53938358,0.00117746005046257
"Boot",18437,40.57578062,0.00151387720773759
"Boot",18442,28.92059298,0.000336417157275021
"Boot",18445,6.945963682,0.000336417157275021
"Boot",18461,59.39367625,0.000672834314550042
"Boot",18469,54.20864239,0.000672834314550042
"Boot",18507,59.64369583,0.000168208578637511
"Boot",18510,51.32281698,0.000168208578637511
"Boot",18516,59.88883399,0.000168208578637511
"Boot",18519,49.5957939,0.000336417157275021
"Boot",18528,26.33562681,0.00168208578637511
"Boot",18546,29.20113978,0.000336417157275021
"Boot",18551,24.93418471,0.00117746005046257
"Boot",18556,4.883013117,0.000336417157275021
"Boot",18569,6.202885644,0.000672834314550042
"Boot",18573,27.82974289,0.000841042893187553
"Boot",18574,25.71679361,0.000168208578637511
"Boot",18581,29.65961196,0.000504625735912532
"Boot",18586,38.04522784,0.00100925147182506
"Boot",18609,18.93054583,0.000168208578637511
"Boot",19053,171.2799064,0.000168208578637511
"Boot",19055,56.12381764,0.000336417157275021
"Boot",19057,58.52228821,0.000504625735912532
"Boot",19059,59.25775038,0.000336417157275021
"Boot",19061,172.7193822,0.000336417157275021
"Boot",19063,64.20494157,0.000504625735912532
"Boot",19065,145.8628562,0.000168208578637511
"Boot",19089,63.93803633,0.000336417157275021
"Boot",19230,195.3403943,0.000672834314550042
"Boot",19243,195.4443517,0.000168208578637511
"Boot",19288,96.84869578,0.00100925147182506
"Boot",19348,114.8640329,0.000336417157275021
"Boot",19370,80.78956349,0.000168208578637511
